  75.8   19.5  -0.93  -1.84   5.49
  75.8   20.0  -0.92  -1.98   5.64
  75.8   20.5  -0.90  -2.11   5.77
  75.8   21.0  -0.88  -2.24   5.90
  75.8   21.5  -0.86  -2.36   6.03
  75.8   22.0  -0.84  -2.48   6.15
  75.8   22.5  -0.82  -2.59   6.26
  75.8   23.0  -0.80  -2.69   6.36
  75.8   23.5  -0.78  -2.79   6.46
  75.8   24.0  -0.76  -2.88   6.55
  75.8   24.5  -0.74  -2.97   6.64
  75.8   25.0  -0.72  -3.04   6.70
  75.8   25.5  -0.70  -3.12   6.78
  75.8   26.0  -0.68  -3.19   6.85
  75.8   26.5  -0.66  -3.25   6.91
  75.8   27.0  -0.64  -3.31   6.96
  75.8   27.5  -0.62  -3.36   7.01
  75.8   28.0  -0.60  -3.41   7.05
  75.9    9.5  -0.70   1.38   1.83
  75.9   10.0  -0.73   1.22   2.02
  75.9   10.5  -0.76   1.05   2.22
  75.9   11.0  -0.79   0.88   2.43
  75.9   11.5  -0.82   0.70   2.64
  75.9   12.0  -0.85   0.52   2.85
  75.9   12.5  -0.88   0.35   3.06
  75.9   13.0  -0.91   0.17   3.27
  75.9   13.5  -0.93  -0.01   3.48
  75.9   14.0  -0.96  -0.19   3.69
  75.9   14.5  -0.99  -0.37   3.90
  75.9   15.0  -1.01  -0.55   4.11
  75.9   15.5  -1.03  -0.72   4.31
  75.9   16.0  -1.04  -0.89   4.50
  75.9   16.5  -1.05  -1.06   4.69
  75.9   17.0  -1.05  -1.23   4.88
  75.9   17.5  -1.05  -1.39   5.05
  75.9   18.0  -1.04  -1.55   5.23
  75.9   18.5  -1.03  -1.70   5.38
  75.9   19.0  -1.01  -1.85   5.54
  75.9   19.5  -0.99  -1.99   5.68
  75.9   20.0  -0.97  -2.13   5.83
  75.9   20.5  -0.95  -2.26   5.96
  75.9   21.0  -0.93  -2.38   6.08
  75.9   21.5  -0.91  -2.50   6.21
  75.9   22.0  -0.89  -2.61   6.32
  75.9   22.5  -0.87  -2.72   6.43
  75.9   23.0  -0.84  -2.82   6.52
  75.9   23.5  -0.82  -2.92   6.62
  75.9   24.0  -0.80  -3.00   6.70
  75.9   24.5  -0.78  -3.09   6.79
  75.9   25.0  -0.75  -3.16   6.85
  75.9   25.5  -0.73  -3.24   6.93
  75.9   26.0  -0.71  -3.30   6.98
  75.9   26.5  -0.69  -3.36   7.04
  75.9   27.0  -0.67  -3.41   7.09
  75.9   27.5  -0.64  -3.46   7.13
  75.9   28.0  -0.62  -3.51   7.17
  76.0    9.5  -0.74   1.27   1.97
  76.0   10.0  -0.77   1.10   2.17
  76.0   10.5  -0.80   0.93   2.38
  76.0   11.0  -0.83   0.75   2.59
  76.0   11.5  -0.86   0.57   2.80
  76.0   12.0  -0.89   0.39   3.02
  76.0   12.5  -0.93   0.21   3.23
  76.0   13.0  -0.96   0.03   3.45
  76.0   13.5  -1.00  -0.15   3.67
  76.0   14.0  -1.03  -0.34   3.89
  76.0   14.5  -1.06  -0.52   4.10
  76.0   15.0  -1.08  -0.70   4.31
  76.0   15.5  -1.11  -0.87   4.51
  76.0   16.0  -1.12  -1.05   4.71
  76.0   16.5  -1.13  -1.22   4.91
  76.0   17.0  -1.13  -1.38   5.08
  76.0   17.5  -1.13  -1.55   5.27
  76.0   18.0  -1.12  -1.70   5.43
  76.0   18.5  -1.10  -1.86   5.60
  76.0   19.0  -1.08  -2.00   5.74
  76.0   19.5  -1.06  -2.14   5.88
  76.0   20.0  -1.04  -2.28   6.03
  76.0   20.5  -1.01  -2.41   6.16
  76.0   21.0  -0.99  -2.53   6.28
  76.0   21.5  -0.96  -2.65   6.39
  76.0   22.0  -0.94  -2.75   6.50
  76.0   22.5  -0.91  -2.86   6.60
  76.0   23.0  -0.89  -2.95   6.69
  76.0   23.5  -0.86  -3.05   6.79
  76.0   24.0  -0.84  -3.13   6.86
  76.0   24.5  -0.82  -3.21   6.94
  76.0   25.0  -0.79  -3.28   7.00
  76.0   25.5  -0.77  -3.35   7.07
  76.0   26.0  -0.74  -3.41   7.12
  76.0   26.5  -0.72  -3.47   7.18
  76.0   27.0  -0.70  -3.52   7.22
  76.0   27.5  -0.67  -3.57   7.26
  76.0   28.0  -0.65  -3.61   7.30
  76.1    9.5  -0.77   1.16   2.11
  76.1   10.0  -0.80   0.99   2.31
  76.1   10.5  -0.84   0.81   2.53
  76.1   11.0  -0.87   0.63   2.74
  76.1   11.5  -0.91   0.45   2.96
  76.1   12.0  -0.95   0.26   3.19
  76.1   12.5  -0.99   0.08   3.41
  76.1   13.0  -1.02  -0.11   3.63
  76.1   13.5  -1.06  -0.30   3.86
  76.1   14.0  -1.10  -0.48   4.08
  76.1   14.5  -1.14  -0.66   4.30
  76.1   15.0  -1.17  -0.84   4.51
  76.1   15.5  -1.20  -1.02   4.72
  76.1   16.0  -1.22  -1.20   4.93
  76.1   16.5  -1.23  -1.37   5.12
  76.1   17.0  -1.23  -1.54   5.31
  76.1   17.5  -1.22  -1.70   5.48
  76.1   18.0  -1.21  -1.85   5.64
  76.1   18.5  -1.19  -2.01   5.81
  76.1   19.0  -1.16  -2.15   5.95
  76.1   19.5  -1.14  -2.29   6.09
  76.1   20.0  -1.11  -2.42   6.22
  76.1   20.5  -1.08  -2.55   6.35
  76.1   21.0  -1.05  -2.67   6.46
  76.1   21.5  -1.02  -2.79   6.58
  76.1   22.0  -1.00  -2.89   6.68
  76.1   22.5  -0.97  -3.00   6.79
  76.1   23.0  -0.94  -3.09   6.87
  76.1   23.5  -0.91  -3.18   6.95
  76.1   24.0  -0.89  -3.26   7.03
  76.1   24.5  -0.86  -3.34   7.10
  76.1   25.0  -0.83  -3.40   7.16
  76.1   25.5  -0.80  -3.47   7.22
  76.1   26.0  -0.78  -3.52   7.26
  76.1   26.5  -0.75  -3.58   7.31
  76.1   27.0  -0.73  -3.62   7.35
  76.1   27.5  -0.70  -3.67   7.39
  76.1   28.0  -0.68  -3.71   7.42
  76.2    9.5  -0.81   1.05   2.25
  76.2   10.0  -0.84   0.87   2.46
  76.2   10.5  -0.88   0.69   2.68
  76.2   11.0  -0.92   0.51   2.90
  76.2   11.5  -0.96   0.32   3.13
  76.2   12.0  -1.00   0.13   3.36
  76.2   12.5  -1.05  -0.06   3.59
  76.2   13.0  -1.09  -0.25   3.82
  76.2   13.5  -1.14  -0.44   4.05
  76.2   14.0  -1.18  -0.62   4.27
  76.2   14.5  -1.23  -0.81   4.51
  76.2   15.0  -1.27  -0.99   4.72
  76.2   15.5  -1.30  -1.18   4.95
  76.2   16.0  -1.33  -1.35   5.15
  76.2   16.5  -1.34  -1.52   5.34
  76.2   17.0  -1.34  -1.69   5.53
  76.2   17.5  -1.33  -1.85   5.70
  76.2   18.0  -1.31  -2.01   5.87
  76.2   18.5  -1.28  -2.16   6.02
  76.2   19.0  -1.25  -2.30   6.15
  76.2   19.5  -1.22  -2.44   6.29
  76.2   20.0  -1.18  -2.57   6.42
  76.2   20.5  -1.15  -2.70   6.55
  76.2   21.0  -1.12  -2.82   6.66
